Numero identification ,Frequence utilisation avion ?,Quelle taille mesurez-vous?,Qui devrait avoir le controle du hublot ?,Est-il imprudent de s'installer sur des sieges invendus dans les avions ?,Est-il impoli de parler dans une conversation a l'etranger a cote de vous ?,Est-il impoli d'incliner votre siege dans un avion ?,Est-il impoli de reveiller un passager si vous essayez d'aller aux toilettes ?,En general  est-il impoli d'amener un bebe dans un avion ?,Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction ?,Genre ,Age ,Revenu du menage ,Diplome ,Emplacement (region de recensement)
3436139758,Once a year or less,,,,,,,,,,,,,
3434278696,Once a year or less,"6'3""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,No,Male,30,90000,Graduate degree,Pacific
3434275578,Once a year or less,"5'8""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,No,Male,35,125000,Bachelor degree,Pacific
3434268208,Once a year or less,"5'11""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,No,Male,41,17000,Bachelor degree,Pacific
3434250245,Once a month or less,"5'7""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,Yes,Male,38,15000,Bachelor degree,Pacific
3434245875,Once a year or less,"5'9""",The person in the window seat should have exclusive control,Yes  somewhat rude,No  not at all rude,No  not rude at all,Yes  somewhat rude,Yes  very rude,No,Male,37,35000,Graduate degree,East North Central
3434235351,Once a month or less,"6'2""",Everyone in the row should have some say,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,No,Male,32,150000,Some college or Associate degree,Pacific
3434218031,Once a year or less,"6'0""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,No,Male,36,12500,Bachelor degree,New England
3434213681,Once a year or less,"6'0""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,,,,,41,,,
3434172894,Once a year or less,"5'6""",Everyone in the row should have some say,Yes  very rude,Yes  very rude,Yes  very rude,Yes  very rude,Yes  very rude,No,Male,40,17500,Bachelor degree,Pacific
3434165659,Once a month or less,"6'0""",Everyone in the row should have some say,Yes  very rude,No  not at all rude,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,No,Male,40,75000,High school degree,Mountain
3434164339,Once a year or less,,,,,,,,,,,,,
3434161941,Once a year or less,"5'7""",The person in the window seat should have exclusive control,Yes  somewhat rude,Yes  somewhat rude,No  not rude at all,,,,,,,,
3434155493,Never,,,,,,,,,Male,39,125000,Some college or Associate degree,Pacific
3434132453,Never,,,,,,,,,Male,19,100000,High school degree,South Atlantic
3434131535,Once a year or less,"6'0""",Everyone in the row should have some say,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,No  not at all rude,Yes  somewhat rude,No,Male,20,150000,Some college or Associate degree,East South Central
3434125180,A few times per week,,,,,,,,,,,,,
3434122066,Once a year or less,"5'8""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,Yes  somewhat rude,No  not at all rude,No,Male,31,125000,Some college or Associate degree,Middle Atlantic
3434114105,Once a year or less,"6'1""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,Yes,Male,32,150000,Bachelor degree,West North Central
